country,carbon_intensity_average,carbon_intensity_marginal
Afghanistan,193.24767053546748,413.8933333333334
Albania,0.0,0.0
Algeria,397.3599659999851,528.4092641311807
American Samoa (U.S.),515.8517860623051,752.5333333333333
Andorra,69.6738495735174,188.13333333333333
Angola,747.6993002447749,1475.722105263158
Anguilla (U.K.),471.5405515765649,752.5333333333333
Antigua and Barbuda,489.36326941013635,752.5333333333333
Argentina,288.18336045538854,478.1309977385622
Armenia,204.5448374967287,390.1588541666667
Aruba,421.1027916266279,752.5333333333333
Australia,420.5336364747478,807.8086371927315
Austria,113.06459924536532,241.93619813364018
Azerbaijan,384.3432466847795,533.7432638310646
Azores (Portugal),384.1212069536309,752.5333333333333
Bahamas,440.84390528246615,752.5333333333333
Bahrain,454.26772236082775,726.3533748270258
Bangladesh,411.7139397607263,527.922593068461
Barbados,483.9997086124417,749.272852233677
Belarus,291.5601707461071,399.5614394285824
Belgium,124.39442830229973,251.558225005235
Belize,182.951451942395,403.0216666666667
Benin,575.7649827039883,745.3505817909041
Bermuda (U.K.),341.50887228045815,752.5333333333333
Bhutan,0.0,0.0
"Bolivia, Plurinational State of",393.28922931458055,603.6140462950573
Bonaire (Netherland),400.2008502268069,752.5333333333333
Bosnia and Herzegovina,738.997038981765,1197.2185047864643
Botswana,1070.2660561769676,1486.0623029463914
Brazil,150.02455524249805,283.7640513008801
British Virgin Islands (U.K.),420.1937065119802,752.5333333333333
Brunei Darussalam,407.1626246984708,681.15736260726
Bulgaria,495.280737167191,911.4794977716691
Burkina Faso,539.0972552868741,752.5333333333333
Burundi,197.02455268316243,413.8933333333334
Cambodia,587.8056579166453,1046.3155595145508
Cameroon,354.3533031701641,659.4518701300233
Canada,213.36269883078725,371.5215176240959
Canary Islands (Spain),434.8141385675182,752.5333333333333
Cape Verde,505.02036075606645,752.5333333333333
Cayman Islands,372.6714673977749,752.5333333333333
Central African Republic,76.54327054041116,188.13333333333333
Chad,580.858944452518,752.5333333333333
Channel Islands (U.K),388.64330796075546,752.5333333333333
Chile,235.22759412950063,656.606215831873
China (PRC and Hong Kong),485.4116581831094,898.9063635467729
Colombia,208.3405816551489,409.7107473014722
Comoros,589.1121073872121,752.5333333333333
"Congo, Democratic Republic of",0.3731949990667075,0.0
"Congo, Republic of",405.2711501588599,659.3524828112484
Cook Islands,421.72474668190364,752.5333333333333
Costa Rica,38.89054290542519,107.77421052631581
Côte d'Ivoire,314.23207204883676,466.26367667707393
Croatia,167.86317078875766,294.31925176013
Cuba,391.164203409921,558.9481039339073
Curacao/Netherlands Antilles,505.73442734547314,876.4736842105264
Cyprus,438.0304755089935,750.578947368421
Czech Republic,461.3053207146579,901.5557491352097
Denmark,155.24215224135511,361.6356071385505
Djibouti,575.4710042947454,752.5333333333333
Dominica,432.87633042985703,752.5333333333333
Dominican Republic,426.2199044106032,601.2421479964493
Ecuador,280.0294909278872,560.2726907529952
Egypt,405.88937135029744,553.8422660588047
El Salvador,274.85008888093455,547.4921052631579
Equatorial Guinea,361.1439154384962,632.4328494752339
Eritrea,703.6590956290611,915.2842105263159
Estonia,625.1508307589613,1056.9384728916884
Eswatini,0.0,0.0
Ethiopia,0.14137451606587195,0.0
Falkland Islands (U.K.),315.56387781247656,752.5333333333333
Faroe Islands (Denmark),320.4106740312501,752.5333333333333
Fiji,334.44750654637954,639.6533333333333
Finland,114.07744325305934,266.65093129253086
France,67.6227302178105,158.13943258655422
French Guiana,199.63952023268763,423.4290196078432
French Polynesia,412.4669215599873,752.5333333333333
Gabon,532.9343146080871,945.8140216999643
Gambia,590.9736287084296,752.5333333333333
Georgia,135.46579806767312,288.875
Germany,312.8844837588933,649.6899404755723
Ghana,275.98720016838456,494.7603637248822
Gibraltar (U.K.),368.78488096005384,778.9578947368421
Greece,345.8436563843835,507.1245805104859
Greenland,104.81543874366528,264.0126315789473
Grenada,522.6972855042964,752.5333333333333
Guadeloupe (France),432.83816382376415,752.5333333333333
Guam,427.81751637600723,752.5333333333333
Guatemala,427.10028162566135,797.8202165472433
Guinea,459.5535077600665,752.5333333333333
Guinea-Bissau,577.2261624092289,752.5333333333333
Guyana,615.6995752736618,846.5845048110489
Haiti,764.6132816948206,1047.6842105263158
Honduras,359.08721846448907,661.5147368421053
Hungary,191.06812185105576,295.878671656912
Iceland,0.03231426044255337,0.0
India,607.6988217335227,950.9217108682398
Indonesia,674.5001132526575,783.4679509708822
"Iran, Islamic Republic of",420.91570869559075,592.0977837436884
Iraq,787.9167185653282,1080.3692355487624
Ireland,189.48199631026586,380.2378403218922
Isle of Man (U.K.),204.2578565019429,436.2666666666667
Israel,258.34601334393375,394.1608308425825
Italy,223.71243671342881,414.4615735950213
Jamaica,497.6041530355115,710.7798615485983
Japan,408.25411194196204,471.44868157144055
Jordan,381.8627985604762,528.5811548399727
Kazakhstan,532.2177040728538,797.1751202338512
Kenya,274.2580362216026,573.978947368421
Kiribati,529.6244477736682,752.5333333333333
"Korea (North), Democratic People's Republic of",359.482502541372,754.1380434940311
"Korea (South), Republic of",335.0468797635089,555.3221337387056
Kosovo,842.8157796622196,1145.0674874178146
Kuwait,399.76965536565945,675.1492372215954
Kyrgyzstan,97.7209144612165,217.14621167186183
Lao People's Democratic Republic,554.5619121304051,1069.072340425532
Latvia,117.20603105855093,239.85341541279956
Lebanon,566.9850034175606,793.9578947368421
Lesotho,0.0,0.0
Liberia,373.9131330339769,677.28
Libya,493.33625699416393,667.519308298617
Liechtenstein,52.10260049692787,150.50666666666663
Lithuania,101.8441227431646,210.53740239018973
Luxembourg,95.04059232460651,220.2081798321813
Madagascar,567.4109228654125,875.7368421052632
Madeira (Portugal),368.66348192449874,662.781981981982
Malawi,242.73169367576958,489.14666666666665
Malaysia,436.19213559667077,550.9889069161953
Maldives,524.4602826270511,752.5333333333333
Mali,623.3716755063615,1076.2526315789476
Malta,294.51240553406734,519.6725719247812
Marshall Islands,560.9232613601453,752.5333333333333
Martinique (France),406.42868750288045,752.5333333333333
Mauritania,513.1207333318673,752.5333333333333
Mauritius,542.7629563138291,700.4463538194531
Mayotte (France),511.98871954868207,752.5333333333333
Mexico,358.5044788030079,531.4335243578706
Micronesia,556.6305887334513,752.5333333333333
"Moldova, Republic of ",399.25864856099395,540.8713542955645
Monaco,67.6227302178105,158.13943258655422
Mongolia,1001.951322531854,1366.3251553188454
Montenegro,471.0434515052614,899.1574468085107
Montserrat,516.9865656833626,752.5333333333333
Morocco,546.8271146982047,728.5465493789329
Mozambique,110.7817145243435,233.84260480422304
Myanmar,406.81016900032625,719.2616250234438
Namibia,138.57700071594977,355.0244916007445
Nauru,520.6989212757913,752.5333333333333
Nepal,0.006627684399105216,0.0
Netherlands,202.9021450113807,326.08578087788777
New Caledonia (France),445.34111591181664,779.4090909090908
New Zealand,107.55764507409098,246.03160615769772
Nicaragua,371.9723505385192,675.2747368421053
Niger,717.8980132072593,772.1052631578948
Nigeria,357.5957660375868,525.9375
Niue,458.8479334451208,752.5333333333333
"North Macedonia, Republic of",562.8460057539887,850.8712306281191
Northern Mariana Islands (U.S.),416.2459313245922,752.5333333333333
Norway,16.926232606405133,46.648638305623805
Oman,319.6202930121528,478.68408732627006
Pakistan,385.58443628385584,591.9160940465663
Palau,497.1949420275612,752.5333333333333
Palestinian Authority,516.8206330746538,718.8315789473685
Panama,230.33956010958133,477.48425394808527
Papua New Guinea,315.140709986773,597.2070175438596
Paraguay,0.014536672318183019,0.0
Peru,252.31024108828439,473.08044673957784
Philippines,524.9866814203265,671.6232141434236
Poland,532.0692783839155,828.3080824365938
Portugal,227.7425886338198,389.25330847668147
Puerto Rico (U.S.),361.61668730944325,596.4016877637132
Qatar,258.112057406766,502.98958333333337
Reunion (France),420.8579809780482,772.4078431372549
Romania,289.47954702504603,489.4467194883979
Russian Federation,360.02424543556276,475.674492779324
Rwanda,416.00923480616655,712.281212121212
Saint Helena (U.K.),456.12301120760935,752.5333333333333
Saint Kitts and Nevis,477.0860464094462,752.5333333333333
Saint Lucia,520.9070541531717,752.5333333333333
Saint Martin (France),483.5549541152917,752.5333333333333
Saint Pierre and Miquelon (France),414.87524919417905,752.5333333333333
Saint Vincent and Grenadines,499.24849787581934,752.5333333333333
Samoa,434.2937254919352,752.5333333333333
San Marino,223.71243671342881,414.4615735950213
Sao Tomé & Principe,564.7233142635162,752.5333333333333
Saudi Arabia,373.6855569728954,591.70517021996
Senegal,656.2445461117493,870.1601450097623
Serbia,677.7297478289909,1085.5814954843274
Seychelles,478.7896608044483,752.5333333333333
Sierra Leone,245.92899433095167,489.14666666666665
Singapore,199.64443170570416,378.57942154878987
Sint Martin (Netherlands),463.04431251750447,752.5333333333333
Slovak Republic,163.7212571665841,331.8754582670866
Slovenia,284.8539622834993,619.9216129715383
Solomon Islands,562.8229362253285,752.5333333333333
Somalia,582.2922640563654,752.5333333333333
South Africa,785.7474547840104,1070.2178314438704
South Sudan,704.0508382232686,889.8105263157896
Spain,208.69804493845825,401.7304192014564
Sri Lanka,505.85473495972747,730.7454979071435
Sudan,398.17196931350855,735.5463157894737
Suriname,564.8849590312457,1028.621052631579
Sweden,25.275304048983678,67.97085117532265
Switzerland,20.173190933358427,48.04569053728649
Syrian Arab Republic,546.4798862752593,712.5127527362779
Taiwan (Chinese Taipei),331.1560677264923,484.07714954481844
Tajikistan,105.72642103426016,255.3510638297873
"Tanzania, United Republic of",336.04980441715134,530.5399486873281
Thailand,350.71181490391206,450.4908959100154
Timor-Leste,589.2132916100365,752.5333333333333
Togo,596.7666359044201,859.2530911930563
Tonga,532.698415970728,752.5333333333333
Trinidad and Tobago,369.74755991694974,559.2868869359368
Tunisia,347.80278400693936,467.7321300513424
Turkey,308.80892108595197,376.2085036506019
Turkmenistan,675.6267242516152,927.2916666666667
Turks and Caicos Islands (U.K.),450.59347279180747,752.5333333333333
Tuvalu,496.5177914253449,752.5333333333333
Uganda,115.85259002861456,279.0015789473684
Ukraine,434.6795190648353,768.2610433514553
United Arab Emirates,310.4005431343253,556.4820192401615
United Kingdom,218.56929902663236,380.3712240328204
United States,245.91061682998978,416.4283665521271
Uruguay,64.8285438462597,173.9583772719126
Uzbekistan,467.3727908595872,612.2833271232295
Vanatu,504.18072672613846,752.5333333333333
"Venezuela, Bolivarian Republic of",367.75218932752193,710.9203912920029
Viet Nam,380.8079984650012,560.4410611676584
Virgin Islands (U.S.),373.0149257810399,650.3057239057239
Yemen,614.5621328909245,807.2931937584166
Zambia,196.99130651213528,416.4086030434059
Zimbabwe,880.2535963554808,1575.3007845098518
EU 27,214.1009807514835,408.6443147133168
World,381.38476735523534,585.8659424529542
